B
一	-3.6544978750449433
丁	-8.125041941842026
七	-7.817392401429855
万	-6.3096425804013165
丈	-8.866689067453933
三	-5.932085850549891
上	-5.739552583325728
下	-5.997089097239644
不	-4.274262055936421
与	-8.355569307500769
丐	-9.985251083961709
丑	-10.200388187382178
专	-6.373950868459459
且	-10.194028865473886
世	-6.142051005803147
丘	-8.88385596143092
丙	-10.895131537474946
业	-7.835434989100892
丛	-9.507241006822232
东	-6.004002008087405
丝	-8.859361493580714
丞	-10.149094892994627
丟	-9.766619303111161
丢	-9.766619303111161
两	-5.616014902721218
严	-6.980651489152666
並	-7.383967650611162
丧	-9.218662207363717
个	-7.167361665594661
丫	-9.55250867414066
中	-4.596743315282086
丰	-7.604157975048104
串	-10.424728626930234
临	-7.845071440995644
丸	-11.936319207057291
丹	-8.755441313832726
为	-6.33937311455966
主	-5.35605669160454
丽	-9.720663223766415
举	-7.056675976927588
乃	-9.237664438002724
久	-9.42242502039604
么	-17.334481908575043
义	-8.047921510687452
之	-5.681481506739282
乌	-8.10218436924682
乍	-11.879160793217343
乎	-17.334481908575043
乏	-11.245437033128198
乐	-8.187613959554435
乒	-10.85750954568536
乓	-17.334481908575043
乔	-8.741254030882809
乖	-10.475916873783678
乘	-8.683807325784326
乙	-9.492988984115032
乜	-13.750962970118934
九	-7.682537381874823
乞	-10.536541495600114
也	-7.999449092641543
习	-8.274266995176498
乡	-8.186655441988103
书	-7.36881799761224
买	-8.79846696291822
乱	-9.142464994038168
乳	-9.081514713574245
乾	-9.34899755184122
亂	-9.142464994038168
了	-7.786883894203812
予	-9.53719063502757
争	-7.793902974733167
事	-6.248975792069306
二	-6.454888741863603
于	-7.2575033406297775
亏	-9.696765475910246
云	-7.87400558022105
互	-8.044591257840851
亓	-13.057815789558989
五	-6.609563905188721
井	-9.415489420409799
亘	-13.274038898028625
亙	-13.274038898028625
亚	-7.5793783618051735
些	-11.456746126795405
亞	-7.5793783618051735
亟	-11.905136279620603
亡	-10.16052358881825
亢	-11.508481801194593
交	-6.487691751917963
亥	-14.936586635776674
亦	-10.879283345234922
产	-6.1461099908325005
亨	-10.448972238540227
亩	-12.749514429904472
享	-8.53105769697434
京	-8.096429098032326
亭	-11.31588869407881
亮	-9.615352067668312
亲	-7.22895187463276
亳	-13.030416815370874
亵	-12.222494120218501
人	-4.673338450394872
亿	-7.221057632211988
什	-6.306779299991302
仁	-9.47661434924324
仄	-14.849575258787043
仅	-8.629813795124058
仆	-10.181430273637563
仇	-9.531046851622875
仉	-14.849575258787043
今	-6.635854825728911
介	-7.923080008430854
仍	-8.109844231898036
从	-6.751768630820015
仓	-9.74565203026723
仔	-9.304397814307482
仕	-11.133972734532353
他	-5.822797213040948
仗	-11.685507670413838
付	-8.846099799012926
仙	-8.448625915574747
仝	-12.952455273901162
仟	-15.948187547455154
仡	-11.553738392782714
代	-6.451935419112419
令	-7.853809102482193
以	-5.494658465703618
仨	-14.695424578959786
仪	-8.385376439035793
仫	-13.291430640740494
仰	-9.658008262185888
仲	-10.032659566437111
仵	-12.952455273901162
件	-13.484334306864985
价	-7.024196802696973
任	-6.381152231740235
份	-10.051720728969451
仿	-8.868161047532563
企	-6.750375326056241
伉	-13.596812290291675
伊	-7.682601684353706
伍	-9.571885860034975
伎	-12.310601387728767
伏	-9.380812129925246
伐	-12.652350681450825
休	-8.407433260749348
众	-7.590400488262129
优	-7.083864824943714
伙	-9.515247454715974
会	-6.520359589020918
伛	-15.948187547455154
伞	-10.78340157353164
伟	-8.8922278038233
传	-6.684638217147827
伢	-15.137257331238825
伤	-8.068990692134014
伥	-16.6413347280151
伦	-8.967646598747368
伪	-9.783295041278894
伫	-12.436642108624133
伬	-15.255040366895209
伯	-8.873435877781807
估	-8.80714038610699
伴	-9.290176501584405
伶	-11.789304464095482
伸	-8.236638567826008
伺	-10.57754951932749
似	-7.702475049152689
伽	-11.383839355987316
佃	-11.100071182856672
但	-7.048559077045443
佇	-12.436642108624133
位	-7.190050180099199
低	-7.654262915166277
住	-8.490289782330075
佐	-10.572909139770989
佑	-15.388571759519731
体	-6.580693865204607
佔	-8.003961376342756
何	-7.105799759327364
佗	-15.137257331238825
佘	-12.16969593465153
余	-7.735686957324103
佚	-13.114974203398937
佛	-8.470300538809617
作	-5.84057617744207
佝	-12.147096102734288
佞	-12.598283460180548
佟	-11.006545124845848
你	-7.263913348661246
佣	-10.949287509577319
佤	-13.057815789558989
佥	-14.115606083706844
佩	-9.518871376539852
佯	-12.228536434674464
佰	-16.235869619906936
佳	-9.408601591837483
佴	-15.542722439346988
佶	-15.725043996140943
佼	-12.490294822116452
使	-6.861456526193593
侃	-12.141525057684833
侄	-10.251933339219743
來	-6.497315674563533
侈	-14.695424578959786
侉	-15.725043996140943
例	-8.092836686770449
侍	-8.643671600994997
侏	-11.661158641403551
侗	-10.57754951932749
供	-8.184953675995619
依	-7.184056156158989
侠	-10.935886974039835
侣	-16.235869619906936
侥	-10.846797890090434
侦	-9.133095953336435
侧	-9.364778325296388
侨	-10.375083396441068
侪	-14.076385370553561
侮	-11.171167104540402
侯	-8.912258954750033
侵	-7.951028918890216
侶	-16.235869619906936
便	-7.802492914583807
俁	-15.255040366895209
促	-8.171547658996131
俄	-8.030651193511522
俊	-11.0336961139118
俎	-15.031896815580998
俏	-12.098039945745095
俐	-17.334481908575043
俑	-15.725043996140943
俗	-9.355828179492313
俘	-10.091683985781287
俚	-12.147096102734288
保	-6.224784056772788
俞	-9.070118578843376
俟	-17.334481908575043
俠	-10.935886974039835
